Images/image_0001.jpg, red, Objects (id: bounding-box centroid area mean-color):
  4: 5x6+843+753 845.1,755.8 25 srgb(0,0,0)
  2: 5x5+1399+244 1400.7,246.1 20 srgb(0,0,0)
Images/image_0006.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07346e+06 srgb(0,0,0)
  1: 10x9+1058+193 1062.6,197.2 57 srgb(255,255,255)
  3: 10x9+687+957 692.2,961.1 52 srgb(255,255,255)
  4: 5x6+689+959 691.3,961.4 22 srgb(0,0,0)
  2: 3x5+1061+195 1062.1,197.1 14 srgb(0,0,0)
Images/image_0006.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07323e+06 srgb(0,0,0)
  9: 9x9+786+382 789.8,386.5 64 srgb(255,255,255)
  12: 10x11+825+411 829.9,415.7 58 srgb(255,255,255)
  1: 9x9+1003+112 1007.5,115.7 52 srgb(255,255,255)
  3: 9x10+707+137 710.9,141.8 48 srgb(255,255,255)
  15: 9x9+1464+691 1468.8,694.9 46 srgb(255,255,255)
  7: 7x6+1257+290 1259.8,292.5 37 srgb(255,255,255)
  4: 7x6+1363+225 1366.0,227.3 32 srgb(255,255,255)
  13: 5x5+827+414 829.0,415.7 22 srgb(0,0,0)
  2: 3x5+1005+113 1006.1,114.8 12 srgb(0,0,0)
Images/image_0006.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07342e+06 srgb(0,0,0)
  4: 11x10+851+748 856.0,752.3 64 srgb(255,255,255)
  1: 10x11+1391+224 1395.8,229.4 63 srgb(255,255,255)
  5: 5x6+853+750 855.0,752.5 26 srgb(0,0,0)
  2: 6x5+1393+227 1395.8,229.1 23 srgb(0,0,0)
Images/image_0007.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07346e+06 srgb(0,0,0)
  3: 10x9+704+969 708.5,973.0 61 srgb(255,255,255)
  1: 7x10+1081+135 1084.3,139.6 45 srgb(255,255,255)
  4: 5x5+706+971 708.0,973.1 20 srgb(0,0,0)
  2: 4x4+1082+138 1083.5,139.5 14 srgb(0,0,0)
Images/image_0007.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07325e+06 srgb(0,0,0)
  2: 9x11+1022+154 1026.3,159.0 65 srgb(255,255,255)
  8: 10x11+815+387 819.7,392.0 65 srgb(255,255,255)
  13: 9x9+1462+631 1466.0,635.0 57 srgb(255,255,255)
  10: 10x10+767+427 771.6,432.1 56 srgb(255,255,255)
  1: 8x9+686+153 689.8,157.7 52 srgb(255,255,255)
  6: 6x7+1356+218 1358.6,221.1 31 srgb(255,255,255)
  5: 3x4+1024+157 1025.0,158.5 12 srgb(0,0,0)
  15: 4x4+1463+634 1464.3,635.1 12 srgb(0,0,0)
Images/image_0007.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07331e+06 srgb(0,0,0)
  3: 12x11+1219+235 1224.9,239.9 79 srgb(255,255,255)
  1: 12x11+1384+217 1389.3,221.6 74 srgb(255,255,255)
  5: 11x11+850+761 855.4,765.9 69 srgb(255,255,255)
  6: 5x6+852+763 854.1,765.2 23 srgb(0,0,0)
  4: 6x5+1222+238 1224.3,240.1 22 srgb(0,0,0)
  2: 5x5+1387+220 1389.0,221.9 20 srgb(0,0,0)
Images/image_0008.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07338e+06 srgb(0,0,0)
  5: 10x10+719+979 723.6,983.6 60 srgb(255,255,255)
  1: 10x9+666+177 670.4,180.9 56 srgb(255,255,255)
  3: 10x9+1428+588 1432.8,592.2 48 srgb(255,255,255)
  6: 5x6+721+981 723.0,983.8 21 srgb(0,0,0)
  4: 5x5+1430+590 1431.8,591.9 20 srgb(0,0,0)
  2: 4x4+668+179 669.5,180.7 12 srgb(0,0,0)
Images/image_0008.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07339e+06 srgb(0,0,0)
  1: 10x9+1072+174 1077.0,177.7 58 srgb(255,255,255)
  8: 9x10+784+441 788.3,445.4 52 srgb(255,255,255)
  5: 10x7+1380+211 1384.9,213.9 50 srgb(255,255,255)
  4: 6x6+1352+211 1354.3,213.5 30 srgb(255,255,255)
  2: 4x4+1074+176 1075.8,177.4 12 srgb(0,0,0)
  9: 4x5+785+444 786.5,445.9 12 srgb(0,0,0)
Images/image_0008.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07321e+06 srgb(0,0,0)
  3: 12x12+1166+217 1172.0,222.8 88 srgb(255,255,255)
  5: 12x12+777+367 782.8,372.2 83 srgb(255,255,255)
  1: 10x11+1099+109 1103.6,113.9 61 srgb(255,255,255)
  7: 11x10+818+759 823.4,763.2 54 srgb(255,255,255)
  6: 6x6+780+370 782.3,372.2 30 srgb(0,0,0)
  4: 6x6+1169+220 1171.4,222.8 28 srgb(0,0,0)
  8: 5x6+820+761 822.1,763.7 24 srgb(0,0,0)
  2: 5x5+1101+112 1102.9,114.0 20 srgb(0,0,0)
Images/image_0009.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07336e+06 srgb(0,0,0)
  3: 12x10+1384+583 1390.0,587.1 68 srgb(255,255,255)
  5: 11x11+730+987 735.4,991.8 66 srgb(255,255,255)
  1: 9x9+647+192 651.3,196.0 47 srgb(255,255,255)
  6: 5x6+733+989 734.7,991.6 22 srgb(0,0,0)
  4: 5x5+1387+585 1389.1,587.3 18 srgb(0,0,0)
  2: 5x4+649+194 650.8,195.6 14 srgb(0,0,0)
Images/image_0009.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07336e+06 srgb(0,0,0)
  1: 9x10+1115+146 1119.0,150.6 56 srgb(255,255,255)
  5: 8x8+816+408 819.1,411.2 48 srgb(255,255,255)
  3: 8x8+1376+207 1379.8,210.2 46 srgb(255,255,255)
  8: 8x7+792+781 796.0,783.9 42 srgb(255,255,255)
  4: 7x6+1346+208 1349.0,210.2 33 srgb(255,255,255)
  2: 4x4+1117+149 1118.2,150.6 12 srgb(0,0,0)
Images/image_0009.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07329e+06 srgb(0,0,0)
  3: 13x13+1103+210 1109.2,216.0 94 srgb(255,255,255)
  5: 11x13+779+333 784.7,339.1 75 srgb(255,255,255)
  1: 10x12+1107+66 1111.4,71.5 61 srgb(255,255,255)
  4: 6x6+1106+214 1108.6,216.5 30 srgb(0,0,0)
  6: 6x6+781+336 783.8,338.4 28 srgb(0,0,0)
  2: 5x6+1109+69 1110.9,71.8 21 srgb(0,0,0)
Images/image_0010.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0733e+06 srgb(0,0,0)
  5: 10x10+1357+545 1361.4,549.2 64 srgb(255,255,255)
  7: 10x10+753+1000 757.4,1004.4 58 srgb(255,255,255)
  1: 10x9+1116+110 1120.5,113.6 51 srgb(255,255,255)
  3: 10x8+650+207 654.8,210.7 48 srgb(255,255,255)
  6: 5x5+1359+547 1361.0,549.3 22 srgb(0,0,0)
  8: 4x6+755+1002 756.6,1004.6 21 srgb(0,0,0)
  2: 4x5+1118+111 1119.5,113.0 20 srgb(0,0,0)
  4: 4x5+653+208 654.4,210.2 14 srgb(0,0,0)
Images/image_0010.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07344e+06 srgb(0,0,0)
  1: 8x8+1374+202 1378.0,205.5 44 srgb(255,255,255)
  4: 9x7+812+358 815.3,361.0 44 srgb(255,255,255)
  7: 8x7+766+800 769.9,802.6 38 srgb(255,255,255)
  2: 7x5+1344+204 1346.7,205.9 30 srgb(255,255,255)
Images/image_0010.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.07326e+06 srgb(0,0,0)
  5: 14x14+729+347 736.2,354.2 106 srgb(255,255,255)
  3: 13x11+1051+199 1056.8,203.8 82 srgb(255,255,255)
  1: 11x12+1138+79 1142.7,84.4 75 srgb(255,255,255)
  6: 6x5+733+352 735.3,354.0 28 srgb(0,0,0)
  4: 6x6+1054+201 1056.2,203.8 26 srgb(0,0,0)
  2: 5x6+1140+82 1141.7,84.7 19 srgb(0,0,0)
Images/image_0011.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07325e+06 srgb(0,0,0)
  9: 11x10+770+1009 775.5,1013.7 67 srgb(255,255,255)
  5: 10x8+775+334 779.5,337.4 62 srgb(255,255,255)
  7: 10x10+1315+501 1319.9,505.7 62 srgb(255,255,255)
  1: 9x8+1068+80 1071.9,83.4 49 srgb(255,255,255)
  3: 8x9+631+239 634.6,243.1 47 srgb(255,255,255)
  8: 5x5+1317+504 1319.0,506.0 21 srgb(0,0,0)
  10: 5x5+773+1012 775.0,1014.0 19 srgb(0,0,0)
  4: 4x4+632+242 633.5,243.3 14 srgb(0,0,0)
  2: 3x4+1070+82 1071.0,83.5 12 srgb(0,0,0)
Images/image_0011.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07344e+06 srgb(0,0,0)
  1: 9x8+1372+200 1376.4,203.9 52 srgb(255,255,255)
  9: 8x7+747+811 750.8,813.8 40 srgb(255,255,255)
  6: 7x6+1037+250 1039.9,252.5 39 srgb(255,255,255)
  2: 5x6+1344+202 1346.0,204.2 27 srgb(255,255,255)
Images/image_0011.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07338e+06 srgb(0,0,0)
  3: 12x14+711+386 716.2,392.3 94 srgb(255,255,255)
  1: 10x11+1161+87 1165.9,91.9 73 srgb(255,255,255)
  4: 6x6+713+390 715.5,392.5 32 srgb(0,0,0)
  2: 4x5+1164+90 1165.5,92.0 18 srgb(0,0,0)
Images/image_0012.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07324e+06 srgb(0,0,0)
  9: 11x11+796+1021 801.1,1026.1 68 srgb(255,255,255)
  1: 10x9+1021+91 1026.2,94.9 53 srgb(255,255,255)
  3: 9x9+632+279 636.3,283.3 53 srgb(255,255,255)
  7: 10x9+1298+462 1302.3,466.2 53 srgb(255,255,255)
  5: 11x8+757+319 762.2,322.7 50 srgb(255,255,255)
  8: 5x5+1300+464 1301.7,466.1 20 srgb(0,0,0)
  10: 4x6+799+1023 800.5,1025.8 20 srgb(0,0,0)
  2: 5x5+1023+93 1025.2,95.1 17 srgb(0,0,0)
  4: 4x4+634+282 635.5,283.2 13 srgb(0,0,0)
  6: 4x4+760+321 761.2,322.5 11 srgb(0,0,0)
Images/image_0012.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07344e+06 srgb(0,0,0)
  1: 9x9+1372+199 1376.0,203.2 55 srgb(255,255,255)
  7: 8x8+721+814 724.7,816.9 40 srgb(255,255,255)
  5: 7x7+1054+285 1057.1,288.0 35 srgb(255,255,255)
  2: 8x6+1343+201 1345.5,203.5 32 srgb(255,255,255)
Images/image_0012.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07336e+06 srgb(0,0,0)
  3: 11x13+716+433 720.9,439.0 93 srgb(255,255,255)
  1: 11x15+1162+109 1167.6,116.8 90 srgb(255,255,255)
  4: 6x7+718+436 720.6,439.2 34 srgb(0,0,0)
  2: 5x6+1165+115 1166.9,117.3 24 srgb(0,0,0)
Images/image_0013.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07321e+06 srgb(0,0,0)
  11: 10x10+818+1031 823.1,1035.1 59 srgb(255,255,255)
  7: 9x8+757+314 760.8,317.6 54 srgb(255,255,255)
  9: 10x10+765+443 769.7,447.9 51 srgb(255,255,255)
  5: 8x9+1367+192 1370.9,196.4 49 srgb(255,255,255)
  3: 9x7+1184+138 1188.3,141.0 43 srgb(255,255,255)
  1: 9x10+1003+121 1006.9,125.4 42 srgb(255,255,255)
  10: 6x6+766+445 768.7,447.7 24 srgb(0,0,0)
  2: 5x6+1004+123 1006.2,125.6 21 srgb(0,0,0)
  12: 4x5+821+1033 822.5,1035.0 18 srgb(0,0,0)
  4: 4x5+1186+139 1187.3,141.1 16 srgb(0,0,0)
  6: 4x4+1368+195 1369.2,196.3 12 srgb(0,0,0)
Images/image_0013.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07343e+06 srgb(0,0,0)
  4: 11x11+1263+424 1268.8,428.7 72 srgb(255,255,255)
  1: 6x6+1337+195 1339.7,197.7 31 srgb(255,255,255)
  2: 6x6+1091+304 1093.5,306.6 30 srgb(255,255,255)
  6: 7x6+690+811 693.2,813.3 26 srgb(255,255,255)
  5: 4x4+1266+427 1267.5,428.5 14 srgb(0,0,0)
Images/image_0013.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07351e+06 srgb(0,0,0)
  1: 10x11+656+316 660.7,320.9 64 srgb(255,255,255)
  2: 6x5+657+319 659.7,321.0 26 srgb(0,0,0)
Images/image_0014.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07321e+06 srgb(0,0,0)
  11: 10x10+824+1031 828.7,1035.3 60 srgb(255,255,255)
  7: 9x8+739+294 743.1,297.5 57 srgb(255,255,255)
  3: 9x10+1015+179 1019.6,183.9 53 srgb(255,255,255)
  5: 9x8+1365+190 1369.3,193.4 51 srgb(255,255,255)
  9: 10x9+803+458 807.6,462.0 45 srgb(255,255,255)
  1: 8x9+1231+137 1234.8,140.8 42 srgb(255,255,255)
  12: 5x6+826+1033 828.1,1035.6 21 srgb(0,0,0)
  10: 5x5+805+461 807.0,462.8 19 srgb(0,0,0)
  4: 5x5+1017+182 1018.9,183.9 16 srgb(0,0,0)
  2: 4x5+1232+139 1233.5,141.0 14 srgb(0,0,0)
  6: 3x5+1367+191 1368.1,192.8 12 srgb(0,0,0)
Images/image_0014.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07346e+06 srgb(0,0,0)
  5: 10x9+1228+453 1232.8,456.9 66 srgb(255,255,255)
  3: 6x6+1137+314 1139.6,316.5 34 srgb(255,255,255)
  1: 6x6+1336+192 1338.3,194.5 30 srgb(255,255,255)
  6: 4x4+1230+455 1231.1,456.5 11 srgb(0,0,0)
Images/image_0014.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07342e+06 srgb(0,0,0)
  1: 12x12+679+354 684.3,359.2 83 srgb(255,255,255)
  3: 9x10+664+803 668.5,807.3 55 srgb(255,255,255)
  2: 6x6+681+357 683.9,359.4 26 srgb(0,0,0)
  4: 6x4+666+806 668.2,807.5 19 srgb(0,0,0)
Images/image_0015.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0732e+06 srgb(0,0,0)
  9: 10x10+831+451 835.4,455.6 59 srgb(255,255,255)
  11: 10x10+827+1032 831.7,1036.2 59 srgb(255,255,255)
  7: 9x9+686+293 690.2,296.9 55 srgb(255,255,255)
  1: 10x9+1242+151 1246.5,155.0 51 srgb(255,255,255)
  3: 9x8+1360+184 1364.0,187.5 51 srgb(255,255,255)
  4: 8x8+1332+185 1335.2,188.8 37 srgb(255,255,255)
  12: 5x5+829+1034 831.2,1036.4 19 srgb(0,0,0)
  2: 4x5+1244+153 1245.6,155.2 16 srgb(0,0,0)
  5: 4x4+1362+186 1363.4,187.6 15 srgb(0,0,0)
  8: 4x5+687+295 688.7,296.7 15 srgb(0,0,0)
  10: 4x5+833+454 834.4,456.1 15 srgb(0,0,0)
  6: 4x4+1333+188 1334.3,189.1 12 srgb(0,0,0)
Images/image_0015.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07349e+06 srgb(0,0,0)
  2: 10x11+1194+476 1199.2,480.6 64 srgb(255,255,255)
  1: 7x7+1183+321 1185.4,323.9 30 srgb(255,255,255)
  3: 4x4+1196+479 1197.5,480.5 14 srgb(0,0,0)
Images/image_0015.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07327e+06 srgb(0,0,0)
  3: 13x13+704+370 709.8,376.2 95 srgb(255,255,255)
  1: 11x13+1032+171 1037.3,177.2 84 srgb(255,255,255)
  5: 11x11+658+781 663.4,785.5 68 srgb(255,255,255)
  2: 6x6+1034+174 1036.6,176.5 28 srgb(0,0,0)
  4: 6x5+706+374 708.7,376.0 28 srgb(0,0,0)
  6: 6x6+660+783 662.7,785.4 25 srgb(0,0,0)
Images/image_0016.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0732e+06 srgb(0,0,0)
  11: 11x12+785+451 790.2,456.4 70 srgb(255,255,255)
  9: 10x10+689+345 694.1,349.4 53 srgb(255,255,255)
  3: 10x8+1350+176 1354.9,179.5 48 srgb(255,255,255)
  1: 9x9+1219+171 1222.9,175.0 44 srgb(255,255,255)
  4: 8x8+1325+178 1328.4,181.7 43 srgb(255,255,255)
  7: 9x8+1227+309 1230.8,312.9 41 srgb(255,255,255)
  12: 6x5+787+454 789.4,456.2 25 srgb(0,0,0)
  10: 5x5+691+348 693.3,349.9 20 srgb(0,0,0)
  2: 4x5+1221+173 1222.4,175.1 17 srgb(0,0,0)
  5: 4x5+1353+178 1354.5,179.7 15 srgb(0,0,0)
  8: 5x4+1228+311 1230.3,312.8 15 srgb(0,0,0)
  6: 4x4+1327+180 1328.4,181.8 12 srgb(0,0,0)
Images/image_0016.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07352e+06 srgb(0,0,0)
  1: 11x10+1152+477 1157.6,481.1 70 srgb(255,255,255)
  2: 4x4+1155+480 1156.6,481.6 15 srgb(0,0,0)
Images/image_0016.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0732e+06 srgb(0,0,0)
  5: 12x12+671+773 677.0,778.4 88 srgb(255,255,255)
  3: 12x11+734+376 740.1,381.2 80 srgb(255,255,255)
  1: 10x12+1060+152 1064.7,157.9 77 srgb(255,255,255)
  7: 10x10+833+1032 837.4,1036.2 54 srgb(255,255,255)
  6: 6x6+673+776 675.8,778.4 28 srgb(0,0,0)
  4: 7x5+736+379 739.0,381.0 27 srgb(0,0,0)
  2: 5x6+1062+155 1064.1,157.6 25 srgb(0,0,0)
  8: 5x6+835+1034 836.8,1036.7 22 srgb(0,0,0)
Images/image_0017.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.6 2.07319e+06 srgb(0,0,0)
  3: 17x13+1319+173 1326.9,178.7 107 srgb(255,255,255)
  10: 12x11+731+448 736.8,453.0 78 srgb(255,255,255)
  6: 10x9+1249+269 1253.1,273.1 53 srgb(255,255,255)
  1: 9x8+1184+161 1188.4,164.5 50 srgb(255,255,255)
  8: 9x9+742+340 745.8,343.8 41 srgb(255,255,255)
  11: 6x5+733+451 735.7,453.1 24 srgb(0,0,0)
  5: 4x5+1328+179 1329.5,181.0 18 srgb(0,0,0)
  9: 4x5+744+342 745.8,343.8 13 srgb(0,0,0)
  2: 3x4+1187+163 1188.0,164.5 12 srgb(0,0,0)
  7: 3x4+1251+271 1252.0,272.5 12 srgb(0,0,0)
Images/image_0017.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07352e+06 srgb(0,0,0)
  1: 11x10+1100+468 1105.6,472.6 67 srgb(255,255,255)
  2: 4x4+1103+471 1104.6,472.6 15 srgb(0,0,0)
Images/image_0017.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0732e+06 srgb(0,0,0)
  3: 11x12+773+383 778.3,389.0 75 srgb(255,255,255)
  5: 11x11+686+793 691.3,797.9 75 srgb(255,255,255)
  1: 12x12+1070+108 1076.5,113.1 74 srgb(255,255,255)
  7: 11x11+836+1033 841.0,1037.7 69 srgb(255,255,255)
  4: 6x6+775+386 777.5,388.5 32 srgb(0,0,0)
  6: 5x7+689+795 691.0,798.0 29 srgb(0,0,0)
  2: 5x6+1074+111 1076.3,113.4 23 srgb(0,0,0)
  8: 5x6+838+1035 840.1,1037.7 22 srgb(0,0,0)
Images/image_0018.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07343e+06 srgb(0,0,0)
  3: 9x10+1257+219 1260.9,223.5 51 srgb(255,255,255)
  1: 8x7+1304+168 1307.5,171.1 46 srgb(255,255,255)
  5: 9x8+765+323 768.7,326.8 43 srgb(255,255,255)
  4: 5x5+1258+221 1260.1,223.4 18 srgb(0,0,0)
  6: 3x4+767+325 768.0,326.5 10 srgb(0,0,0)
Images/image_0018.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07348e+06 srgb(0,0,0)
  1: 9x8+1304+176 1308.0,179.8 53 srgb(255,255,255)
  3: 10x10+791+393 796.2,397.4 52 srgb(255,255,255)
  4: 4x5+794+396 795.5,397.8 18 srgb(0,0,0)
Images/image_0018.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07299e+06 srgb(0,0,0)
  5: 12x13+699+415 704.7,420.8 89 srgb(255,255,255)
  1: 11x11+1060+64 1065.2,69.2 82 srgb(255,255,255)
  7: 12x11+1055+458 1060.5,463.0 82 srgb(255,255,255)
  9: 12x12+705+789 710.9,794.7 79 srgb(255,255,255)
  3: 12x11+1210+137 1215.4,141.5 74 srgb(255,255,255)
  11: 11x10+838+1034 842.9,1038.5 62 srgb(255,255,255)
  8: 6x6+1057+461 1059.5,463.2 28 srgb(0,0,0)
  10: 6x6+708+792 710.3,794.7 28 srgb(0,0,0)
  6: 6x5+701+419 703.9,421.0 26 srgb(0,0,0)
  12: 5x6+839+1036 841.3,1038.5 22 srgb(0,0,0)
  2: 4x6+1063+66 1064.6,68.6 21 srgb(0,0,0)
  4: 5x5+1212+139 1214.1,141.1 21 srgb(0,0,0)
Images/image_0019.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07346e+06 srgb(0,0,0)
  2: 11x10+1222+182 1227.6,186.4 59 srgb(255,255,255)
  1: 8x7+1304+159 1307.4,162.4 31 srgb(255,255,255)
  4: 7x7+783+290 786.0,293.0 27 srgb(255,255,255)
  3: 6x5+1224+184 1226.6,186.1 23 srgb(0,0,0)
Images/image_0019.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07348e+06 srgb(0,0,0)
  3: 11x10+821+388 826.1,392.4 70 srgb(255,255,255)
  1: 10x7+1300+175 1304.8,178.1 34 srgb(255,255,255)
  4: 4x5+825+390 826.2,392.2 16 srgb(0,0,0)
Images/image_0019.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07302e+06 srgb(0,0,0)
  5: 13x12+678+392 684.0,397.5 85 srgb(255,255,255)
  3: 12x11+1241+138 1246.7,143.2 76 srgb(255,255,255)
  9: 11x12+723+792 728.5,797.3 76 srgb(255,255,255)
  7: 11x13+1020+425 1025.1,430.8 74 srgb(255,255,255)
  1: 11x11+1000+76 1005.3,81.4 70 srgb(255,255,255)
  11: 9x11+840+1034 844.4,1038.9 61 srgb(255,255,255)
  8: 6x6+1022+428 1024.6,430.7 27 srgb(0,0,0)
  6: 6x6+682+395 684.2,397.5 25 srgb(0,0,0)
  10: 5x5+726+795 727.8,797.0 23 srgb(0,0,0)
  2: 5x6+1002+79 1004.2,81.4 21 srgb(0,0,0)
  12: 5x5+842+1037 844.0,1039.0 21 srgb(0,0,0)
  4: 5x5+1244+141 1246.1,142.9 20 srgb(0,0,0)
Images/image_0020.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0735e+06 srgb(0,0,0)
  1: 9x9+1191+246 1195.4,249.9 49 srgb(255,255,255)
  3: 8x8+788+290 791.5,294.0 36 srgb(255,255,255)
  2: 4x4+1193+249 1194.6,250.4 13 srgb(0,0,0)
Images/image_0020.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07344e+06 srgb(0,0,0)
  5: 11x10+824+358 828.7,362.4 65 srgb(255,255,255)
  3: 9x9+1303+176 1307.8,180.2 43 srgb(255,255,255)
  1: 5x6+1308+161 1310.1,163.4 29 srgb(255,255,255)
  6: 4x5+827+359 828.5,361.2 18 srgb(0,0,0)
Images/image_0020.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07303e+06 srgb(0,0,0)
  3: 13x13+1010+144 1016.6,149.9 98 srgb(255,255,255)
  10: 11x11+723+824 727.8,829.5 73 srgb(255,255,255)
  6: 11x12+727+392 731.9,397.3 71 srgb(255,255,255)
  8: 11x11+968+395 973.2,399.7 69 srgb(255,255,255)
  12: 10x11+840+1033 844.6,1038.1 61 srgb(255,255,255)
  1: 10x10+1271+134 1276.0,138.6 60 srgb(255,255,255)
  7: 6x7+729+394 731.4,397.1 28 srgb(0,0,0)
  4: 5x6+1014+147 1015.9,149.6 27 srgb(0,0,0)
  9: 6x5+970+398 972.6,400.0 25 srgb(0,0,0)
  13: 5x5+842+1036 843.9,1038.1 22 srgb(0,0,0)
  2: 5x5+1274+136 1275.8,138.0 21 srgb(0,0,0)
  11: 5x5+725+827 727.3,829.2 18 srgb(0,0,0)
Images/image_0021.jpg, red, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.0736e+06 srgb(0,0,0)
Images/image_0021.jpg, green, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07337e+06 srgb(0,0,0)
  9: 10x11+839+331 844.1,335.6 62 srgb(255,255,255)
  2: 9x8+1304+180 1308.3,183.5 53 srgb(255,255,255)
  6: 6x7+807+274 809.4,276.7 38 srgb(255,255,255)
  4: 7x6+1241+272 1244.2,274.5 33 srgb(255,255,255)
  1: 6x6+1311+162 1313.4,164.8 30 srgb(255,255,255)
  10: 4x6+842+333 843.4,335.6 17 srgb(0,0,0)
Images/image_0021.jpg, blue, Objects (id: bounding-box centroid area mean-color):
  0: 1920x1080+0+0 959.5,539.5 2.07304e+06 srgb(0,0,0)
  3: 12x12+1066+145 1071.9,150.6 87 srgb(255,255,255)
  5: 11x12+721+336 726.1,342.0 75 srgb(255,255,255)
  12: 11x11+856+1038 861.4,1042.9 72 srgb(255,255,255)
  7: 10x11+957+383 961.3,387.9 65 srgb(255,255,255)
  1: 10x10+1274+136 1278.4,140.2 62 srgb(255,255,255)
  10: 11x10+694+819 699.2,823.6 60 srgb(255,255,255)
  6: 6x6+723+339 725.5,341.5 28 srgb(0,0,0)
  4: 5x6+1069+147 1071.1,150.0 25 srgb(0,0,0)
  8: 5x6+959+385 961.1,387.7 24 srgb(0,0,0)
